team,conference,color,alt_color,logo
Abilene Christian,,#4e2683,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
Adams State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png
Adrian,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2003.png
Air Force,Mountain West,#004a7b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,Mid-American,#00285e,#84754e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,SEC,#690014,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Alabama A&M,,#790000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png
Alabama State,,#e9a900,#0a0a0a,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
Albany,,#3D2777,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/399.png
Albany State (GA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2013.png
Albion,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2790.png
Albright,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2015.png
Alcorn State,,#4b0058,#46166a,http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png
Alderson-Broaddus,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2017.png
Alfred,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/365.png
Alfred State College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png
Allegheny,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png
Alma College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2800.png
American International,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2022.png
Amherst College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/7.png
Anderson (IN),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png
Angelo State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png
Anna Maria College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/15.png
Appalachian State,Sun Belt,#000000,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Apprentice School,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png
Arizona,Pac-12,#002449,#00205b,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona Christian,,,,
Arizona State,Pac-12,#942139,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,SEC,#9c1831,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas-Monticello,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png
Arkansas-Pine Bluff,,#e0aa0f,#eaaa00,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png
Arkansas State,Sun Belt,#e81018,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Arkansas Tech,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2033.png
Army,FBS Independents,#ce9c00,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Ashland,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/308.png
Assumption,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2038.png
Auburn,SEC,#03244d,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Augsburg,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/124.png
Augustana (IL),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2042.png
